2007001,3,22,24,29,31,35,04,11
2007002,6,15,22,31,34,35,05,12
2007003,1,03,04,18,23,32,01,06
2007004,3,06,10,16,17,25,02,04
2007005,6,01,09,19,20,30,02,11
2007006,1,01,16,20,23,28,03,06
2007007,3,14,16,25,26,35,04,09
2007008,6,02,08,11,21,23,04,07
2007009,1,01,03,09,19,34,09,12
2007010,3,06,08,18,29,34,09,11
2007011,6,29,32,33,34,35,09,10
2007012,1,03,12,15,29,34,07,11
2007013,3,12,17,27,29,34,06,09
2007014,6,01,02,07,29,32,06,07
2007015,1,02,08,12,13,17,11,12
2007016,3,01,14,19,24,31,03,12
2007017,6,13,14,29,32,34,03,12
2007018,1,03,04,16,23,28,06,09
2007019,3,03,06,17,22,23,04,06
2007020,6,02,06,11,12,18,05,12
2007021,1,02,04,24,29,33,01,02
2007022,3,08,10,12,23,25,03,10
2007023,6,08,10,23,32,34,08,10
2007024,1,06,16,20,25,31,04,09
2007025,3,22,24,26,27,34,02,10
2007026,6,05,09,13,33,35,01,08
2007027,1,02,03,10,19,27,06,10
2007028,3,20,26,30,34,35,03,10
2007029,6,15,22,25,29,35,09,11
2007030,1,11,14,27,33,35,02,07
2007031,3,03,21,27,31,32,06,08
2007032,6,01,13,21,23,32,04,11
2007033,1,01,05,08,14,22,03,12
2007034,3,06,08,11,13,22,02,11
2007035,6,07,11,16,31,32,01,12
2007036,1,15,18,21,27,34,01,02
2007037,3,01,06,07,17,31,11,12
2007038,6,06,21,25,27,32,08,09
2007039,1,10,11,20,21,35,07,11
2007040,3,05,21,25,28,35,01,04
2007041,6,03,16,17,22,35,01,08
2007042,1,07,10,22,31,35,05,06
2007043,3,04,09,22,24,31,02,06
2007044,6,04,05,07,12,26,01,10
2007045,1,09,16,20,26,35,11,12
2007046,3,04,16,18,23,30,01,10
2007047,6,01,06,15,19,35,02,09
2007048,1,08,25,26,29,35,06,08
2007049,3,09,10,15,17,32,04,06
2007050,6,13,21,22,30,35,01,11
2007051,1,03,07,24,28,35,08,11
2007052,3,01,14,29,32,33,05,10
2007053,6,11,16,19,21,25,01,10
2007054,1,04,10,19,29,34,03,06
2007055,3,10,16,24,31,33,07,10
2007056,6,04,11,17,20,21,05,09
2007057,1,14,16,30,32,35,06,07
2007058,3,08,21,25,28,33,02,06
2007059,6,04,15,23,31,33,03,09
2007060,1,12,13,29,30,31,04,07
2007061,3,02,10,19,28,29,02,09
2007062,6,01,04,10,14,29,11,12
2007063,1,10,31,33,34,35,07,12
2007064,3,02,16,32,33,35,05,10
2007065,6,19,20,24,29,31,09,10
2007066,1,04,07,08,19,24,07,12
2007067,3,11,18,25,30,31,04,09
2007068,6,04,09,13,14,33,06,10
2007069,1,02,13,16,21,35,01,05
2007070,3,07,26,29,30,35,03,04
2007071,6,10,22,32,33,35,01,07
2007072,1,21,24,26,27,33,01,05
2007073,3,04,05,09,12,23,02,11
2007074,6,16,17,23,24,31,05,10
2007075,1,05,11,20,30,32,07,11
2007076,3,02,09,12,15,31,09,10
2007077,6,04,06,12,13,24,01,04
2007078,1,09,12,14,22,23,01,02
2007079,3,06,09,25,26,31,02,08
2007080,6,01,15,20,25,27,05,10
2007081,1,06,18,20,22,35,04,09
2007082,3,03,05,14,33,34,07,08
2007083,6,01,05,20,21,24,03,04
2007084,1,05,11,18,29,34,10,11
2007085,3,17,24,28,29,33,02,05
2007086,6,14,18,19,26,28,03,09
2007087,1,08,18,30,31,33,04,09
2007088,3,17,18,21,23,33,06,10
2007089,6,08,13,24,30,34,01,12
2007090,1,04,20,24,31,33,09,12
2007091,3,07,12,26,31,32,03,08
2007092,6,06,19,27,28,29,06,10
2007093,1,06,08,16,25,27,08,12
2008001,3,01,02,11,34,35,03,10
2008002,6,01,12,24,31,32,10,12
2008003,1,01,11,13,32,35,02,07
2008004,3,09,22,24,31,33,08,09
2008005,6,18,25,29,31,34,09,10
2008006,1,10,12,26,29,34,05,07
2008007,3,03,04,05,12,28,03,12
2008008,6,02,06,08,17,32,08,09
2008009,1,04,08,12,24,30,05,08
2008010,3,06,23,24,27,29,06,08
2008011,6,14,20,22,24,27,07,10
2008012,1,02,10,29,32,35,02,03
2008013,3,01,11,19,22,35,05,09
2008014,6,04,07,10,28,34,01,06
2008015,1,09,18,20,27,33,06,09
2008016,3,08,10,11,17,19,06,09
2008017,6,02,14,25,29,32,01,06
2008018,1,03,06,07,11,30,02,03
2008019,3,08,24,25,29,31,04,05
2008020,6,04,05,15,17,33,04,08
2008021,1,05,10,13,21,24,04,09
2008022,3,09,12,13,25,31,08,10
2008023,6,06,26,31,32,34,07,10
2008024,1,08,12,17,20,30,01,02
2008025,3,06,10,12,15,28,04,12
2008026,6,01,21,22,24,25,08,10
2008027,1,05,17,23,31,32,04,08
2008028,3,03,11,17,19,26,07,12
2008029,6,06,11,18,29,30,04,11
2008030,1,03,21,23,26,35,05,08
2008031,3,14,20,23,27,28,02,04
2008032,6,03,09,19,27,33,09,10
2008033,1,03,10,21,23,30,01,09
2008034,3,06,07,18,34,35,05,10
2008035,6,02,12,13,29,30,05,07
2008036,1,09,19,22,30,32,01,10
2008037,3,11,20,24,31,35,04,10
2008038,6,12,13,19,32,33,02,10
2008039,1,07,11,15,27,35,04,07
2008040,3,04,08,19,22,29,08,11
2008041,6,07,17,21,22,28,05,10
2008042,1,05,10,13,32,35,04,05
2008043,3,05,08,10,31,33,02,04
2008044,6,02,21,23,27,32,10,11
2008045,1,14,32,33,34,35,02,04
2008046,3,11,25,26,27,35,07,08
2008047,6,12,18,22,23,30,06,12
2008048,1,01,13,22,25,27,02,10
2008049,3,01,11,14,28,30,03,10
2008050,6,01,05,11,26,27,03,07
2008051,1,01,07,09,11,33,03,11
2008052,3,03,18,19,30,35,05,09
2008053,6,01,13,21,23,32,03,06
2008054,1,05,14,23,31,35,02,06
2008055,3,02,14,28,30,35,04,12
2008056,6,15,19,25,30,31,03,09
2008057,1,05,08,09,17,33,05,06
2008058,3,03,09,11,29,33,03,12
2008059,6,07,13,21,25,31,08,10
2008060,1,03,13,17,23,30,01,11
2008061,3,07,10,14,19,32,03,06
2008062,6,01,15,27,28,29,03,10
2008063,1,07,11,24,30,35,06,08
2008064,3,14,18,24,27,31,06,07
2008065,6,19,22,23,25,32,06,12
2008066,1,02,07,21,22,25,04,12
2008067,3,03,10,14,15,22,04,07
2008068,6,06,09,11,33,34,06,10
2008069,1,05,13,16,29,33,06,08
2008070,3,09,17,18,21,31,01,05
2008071,6,01,05,11,14,25,01,09
2008072,1,10,25,32,33,34,03,09
2008073,3,02,05,06,07,31,08,10
2008074,6,10,13,22,31,35,04,12
2008075,1,01,10,13,30,33,06,07
2008076,3,03,05,10,27,34,01,12
2008077,6,01,08,21,33,34,05,07
2008078,1,08,17,20,28,31,07,11
2008079,3,20,23,26,32,33,05,12
2008080,6,06,09,29,31,33,05,11
2008081,1,07,08,20,22,29,04,07
2008082,3,15,19,29,33,35,01,02
2008083,6,06,14,15,30,31,03,10
2008084,1,02,17,20,22,25,05,11
2008085,3,03,07,13,15,19,02,10
2008086,6,01,06,10,22,35,03,07
2008087,1,14,22,32,33,35,01,05
2008088,3,07,11,19,27,31,02,03
2008089,6,08,13,24,32,33,03,09
2008090,1,04,11,18,33,34,02,06
2008091,3,09,13,19,22,25,04,10
2008092,6,03,23,26,32,34,04,09
2008093,1,06,07,10,24,30,05,08
2008094,3,07,12,19,27,34,11,12
2008095,6,03,04,11,21,25,01,07
2008096,1,06,07,12,25,28,02,12
2008097,3,01,10,31,33,35,03,10
2008098,6,07,10,22,27,33,04,08
2008099,1,03,18,23,25,30,06,10
2008100,3,12,20,26,29,30,02,06
2008101,6,10,13,23,31,33,04,11
2008102,1,05,25,26,29,35,03,10
2008103,3,02,11,22,30,34,04,09
2008104,6,07,08,10,24,34,08,11
2008105,1,12,21,22,26,35,04,05
2008106,3,03,05,21,28,33,02,06
2008107,6,01,02,13,15,16,04,09
2008108,1,11,16,24,29,32,09,11
